記事番号,棚,ファイル名,現在の記述,修正案,根拠,出典,検出バッチ,採否,対応日
001,beauty,001_beauty_cleansing.md,つまり、クレンジング料について語れるのは**「落とす」ことまで**です。それ以上を約束する説明は、法令上も事実としても正確ではありません。,つまり、クレンジング料について語れるのは、原則として**「落とす」ことと使用感まで**です。メイクアップ効果などの物理的効果や使用感の表示は、事実に反しない限り56項目とは別に認められていますが、それ以上を約束する説明は、法令上も事実としても正確ではありません。,薬食発0721第1号（平成23年7月21日）の56項目は効能効果の範囲であり、メイクアップ効果等の物理的効果および使用感の表示は事実に反しない限り認められる（同通知の取扱い通知・解説）。「落とすことまで」という断定は精度不足。,https://www.mhlw.go.jp/file/06-Seisakujouhou-11120000-Iyakushokuhinkyoku/kesyouhin_hanni_20111.pdf; https://www.mhlw.go.jp/file/06-Seisakujouhou-11120000-Iyakushokuhinkyoku/kesyouhin_hanni_20112.pdf; https://cosmetic-ingredients.org/range-of-cosmetic-indications-and-usage/,jr_000,,
002,health,002_health_napping.md,逆です。**高齢者は長時間の昼寝を避けることが望ましい**とされています。夜の睡眠との兼ね合いで、床の上にいる時間が長くなりすぎないことが重視されています。,逆です。**高齢者は長時間の昼寝を避けることが望ましい**とされています。同ガイドは、**床上時間が8時間以上にならないことを目安に**必要な睡眠時間を確保するよう示しています。,『睡眠ガイド2023』の高齢者向け推奨事項は「長い床上時間は健康リスクとなるため、床上時間が8時間以上にならないことを目安に必要な睡眠時間を確保する」。記事の抽象的な表現より、ガイドの数値目安を示すほうが正確。,https://sndj-web.jp/news/002764.php; https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/suimin/index.html,jr_000,,
003,trend,003_trend_batch-cooking.md,残った食品を温め直すときも、**75℃以上を目安に十分に加熱**することが示されています。,残った食品を温め直すときも、**75℃以上を目安に十分に加熱**することが示されています。**ノロウイルスによる汚染のおそれがある二枚貝などは、中心部を85〜90℃で90秒以上加熱**することが別に示されています。,「6つのポイント」の75℃1分以上・温め直し75℃以上は一般的な加熱目安で、ノロウイルス対策は厚生労働省が85〜90℃90秒以上としており、冬場の作り置き・温め直しでは目安が異なる。公開前に厚労省「ノロウイルスに関するQ&A」の原文で数値を確認のこと。,https://www.mhlw.go.jp/topics/bukyoku/iyaku/syoku-anzen/dl/pamph01_05.pdf; https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/shokuhin/index.html,jr_000,,
005,wisdom,005_wisdom_taking-shoes-off-indoors.md,"Japan's 2023 Housing and Land Survey puts the **average floor area of a dwelling at 90.86 m²**, with **4.26 rooms** and **14.65 tatami-mat equivalents of living space per person**.","Japan's 2023 Housing and Land Survey puts the **average floor area of a dwelling built for residential use only at 90.86 m²**, with **4.26 rooms** per dwelling and **14.65 tatami-mat equivalents of living space per person**.",90.86㎡と4.26室は「専用住宅」1住宅当たりの数値（居住室のほか玄関・便所・台所等を含む延べ面積）。全住宅平均と読める書き方は精度不足。14.65畳は1人当たり居住室の畳数で一致。数値自体は令和5年住宅・土地統計調査の基本集計（令和6年9月25日公表）と一致。,https://www.stat.go.jp/data/jyutaku/2023/pdf/kihon_gaiyou.pdf; https://www.soumu.go.jp/menu_news/s-news/01toukei03_01000121.html,jr_000,,
006,beauty,006_beauty_skincare-order.md,つまり、順番の議論で語れるのは**「使いやすさ」と「負担の少なさ」まで**です。,つまり、順番の議論で語れるのは、原則として**「使いやすさ」と「負担の少なさ」まで**です（使用感やメイクアップ効果などの物理的効果の表示は、事実に反しない限り56項目とは別に認められています）。,56項目は効能効果の範囲を定めるもので、使用感・物理的効果の表示は別枠で認められている。「56項目に限定」だけを前提に線引きすると不正確。通知番号・日付（薬食発0721第1号、平成23年7月21日）と56項目という数字自体は現行で正しいことを確認済み。,https://www.mhlw.go.jp/file/06-Seisakujouhou-11120000-Iyakushokuhinkyoku/kesyouhin_hanni_20111.pdf; https://www.mhlw.go.jp/file/06-Seisakujouhou-11120000-Iyakushokuhinkyoku/kesyouhin_hanni_20112.pdf,jr_000,,
007,health,007_health_pillow-height.md,**同じ人でも、仰向けと横向きで必要な高さが2倍近く違う**——これが「万人に合う高さ」が存在しない理由です。,**同じ人でも、横向きでは仰向けより3〜5cmほど高さが必要になるとされます**——これが「万人に合う高さ」が存在しない理由です。,寝具メーカー各社の案内では「横向きは仰向けより3〜5cm程度高く」が一般的な説明。表の目安（仰向け1〜6cm／横向き4〜10cm）からも「2倍近く」は言い過ぎで、断定的すぎる。,https://www.nihonbashi-nishikawa.com/column/pillow/pillow-height/; https://www.rakuten.ne.jp/gold/premium-store/article/article98.html,jr_001,,
008,trend,008_trend_using-the-fridge.md,| 冷凍室 | **約−18〜−20℃** | 冷凍食品、冷凍保存する食材 |,| 冷凍室 | **約−20〜−18℃** | 冷凍食品、冷凍保存する食材 |,メーカー（日立・パナソニック）の表記は「約−20〜−18℃」。記事は範囲が降順になっており、他の行（昇順）とも書式が揃っていない。,https://kadenfan.hitachi.co.jp/support/rei/q_a/a86.html; https://jpn.faq.panasonic.com/app/answers/detail/a_id/9962/,jr_001,,
010,wisdom,010_wisdom_storage-in-narrow-spaces.md,| Average floor area per dwelling | **90.86 m²** |,| Average floor area per purpose-built dwelling | **90.86 m²** |,90.86㎡は「居住専用に建築された住宅（専用住宅）」1住宅当たりの延べ面積。全住宅の平均と読める書き方になっている。数値そのものは令和5年住宅・土地統計調査 基本集計で確認できた。,https://www.stat.go.jp/data/jyutaku/2023/pdf/kihon_gaiyou.pdf; https://www.stat.go.jp/data/jyutaku/2023/tyousake.html,jr_001,,
010,wisdom,010_wisdom_storage-in-narrow-spaces.md,| Average number of rooms | **4.26** |,"| Average number of living rooms (excluding kitchen, bath, hallway) | **4.26** |","4.26は「1住宅当たり居住室数」で、台所・浴室・玄関などを含まない。英語の ""rooms"" のままでは総室数と誤読されうる。数値自体は同調査で確認できた（1住宅当たり居住室の畳数は32.49畳）。",https://www.e-stat.go.jp/dbview?sid=0004021461; https://www.stat.go.jp/data/jyutaku/2023/pdf/kihon_gaiyou.pdf,jr_001,,
011,beauty,011_beauty_storing-cosmetics.md,昭和55年の厚生省告示により、次の化粧品には使用期限の表示が必要です。,昭和55年9月26日厚生省告示第166号により、次の化粧品には使用期限の表示が必要です。,該当告示は「昭和55年9月26日厚生省告示第166号」。告示番号まで書くほうが読者・法務の確認が容易。,https://www.mhlw.go.jp/web/t_doc?dataId=81073000&dataType=0&pageNo=1; https://www.japal.org/dom/amendment/001611.html,jr_001,,
