No,質問候補,話題,棚,言語,法務チェック,要注意,状態,3ソース確認日,担当
1,What should I know about taking shoes off indoors in Japan?,taking shoes off indoors,wisdom,en,,,未確認,,
2,What should I know about the genkan in Japan?,the genkan,wisdom,en,,,未確認,,
3,What should I know about tatami in Japan?,tatami,wisdom,en,,,未確認,,
4,What should I know about futon airing in Japan?,futon airing,wisdom,en,,,未確認,,
5,What should I know about seasonal bedding in Japan?,seasonal bedding,wisdom,en,,,未確認,,
6,What should I know about sliding doors in Japan?,sliding doors,wisdom,en,,,未確認,,
7,What should I know about small apartments in Japan?,small apartments,wisdom,en,,,未確認,,
8,What should I know about storage in narrow spaces in Japan?,storage in narrow spaces,wisdom,en,,,未確認,,
9,What should I know about under-bed storage in Japan?,under-bed storage,wisdom,en,,,未確認,,
10,What should I know about the gap beside the fridge in Japan?,the gap beside the fridge,wisdom,en,,,未確認,,
11,What should I know about vertical storage in Japan?,vertical storage,wisdom,en,,,未確認,,
12,What should I know about seasonal clothing rotation in Japan?,seasonal clothing rotation,wisdom,en,,,未確認,,
13,What should I know about refill packs in Japan?,refill packs,wisdom,en,,,未確認,,
14,What should I know about reusable cloth in Japan?,reusable cloth,wisdom,en,,,未確認,,
15,What should I know about furoshiki in Japan?,furoshiki,wisdom,en,,,未確認,,
16,What should I know about tenugui in Japan?,tenugui,wisdom,en,,,未確認,,
17,What should I know about bento boxes in Japan?,bento boxes,wisdom,en,,,未確認,,
18,What should I know about chopstick rests in Japan?,chopstick rests,wisdom,en,,,未確認,,
19,What should I know about single-purpose kitchen tools in Japan?,single-purpose kitchen tools,wisdom,en,,,未確認,,
20,What should I know about drying racks in Japan?,drying racks,wisdom,en,,,未確認,,
21,What should I know about laundry poles in Japan?,laundry poles,wisdom,en,,,未確認,,
22,What should I know about indoor drying in Japan?,indoor drying,wisdom,en,,,未確認,,
23,What should I know about dehumidifiers in Japan?,dehumidifiers,wisdom,en,,,未確認,,
24,What should I know about the rainy season in Japan?,the rainy season,wisdom,en,,,未確認,,
25,What should I know about mould prevention in Japan?,mould prevention,wisdom,en,,制度・安全,未確認,,
26,What should I know about ventilation habits in Japan?,ventilation habits,wisdom,en,,,未確認,,
27,What should I know about cleaning order in Japan?,cleaning order,wisdom,en,,制度・安全,未確認,,
28,What should I know about cleaning cloths in Japan?,cleaning cloths,wisdom,en,,制度・安全,未確認,,
29,What should I know about newspaper for windows in Japan?,newspaper for windows,wisdom,en,,,未確認,,
30,What should I know about baking soda in Japan?,baking soda,wisdom,en,,,未確認,,
31,What should I know about citric acid in Japan?,citric acid,wisdom,en,,,未確認,,
32,What should I know about the year-end clean in Japan?,the year-end clean,wisdom,en,,,未確認,,
33,What should I know about daily tidying in Japan?,daily tidying,wisdom,en,,,未確認,,
34,What should I know about the entrance mat in Japan?,the entrance mat,wisdom,en,,,未確認,,
35,What should I know about shoe cabinets in Japan?,shoe cabinets,wisdom,en,,,未確認,,
36,What should I know about umbrella care in Japan?,umbrella care,wisdom,en,,,未確認,,
37,What should I know about seasonal food in Japan?,seasonal food,wisdom,en,,,未確認,,
38,What should I know about the concept of shun in Japan?,the concept of shun,wisdom,en,,,未確認,,
39,What should I know about dashi in Japan?,dashi,wisdom,en,,,未確認,,
40,What should I know about fermentation in Japan?,fermentation,wisdom,en,,,未確認,,
41,What should I know about pickling in Japan?,pickling,wisdom,en,,,未確認,,
42,What should I know about rice storage in Japan?,rice storage,wisdom,en,,,未確認,,
43,What should I know about tea culture in Japan?,tea culture,wisdom,en,,,未確認,,
44,What should I know about hot and cold drinks by season in Japan?,hot and cold drinks by season,wisdom,en,,,未確認,,
45,What should I know about hand towels in Japan?,hand towels,wisdom,en,,,未確認,,
46,What should I know about wet towels at restaurants in Japan?,wet towels at restaurants,wisdom,en,,,未確認,,
47,What should I know about gift-giving customs in Japan?,gift-giving customs,wisdom,en,,制度・安全,未確認,,
48,What should I know about packaging in Japan?,packaging,wisdom,en,,,未確認,,
49,What should I know about seasonal greetings in Japan?,seasonal greetings,wisdom,en,,,未確認,,
50,What should I know about the new year in Japan?,the new year,wisdom,en,,,未確認,,
51,What should I know about festivals in Japan?,festivals,wisdom,en,,,未確認,,
52,What should I know about kotatsu in Japan?,kotatsu,wisdom,en,,,未確認,,
53,What should I know about heated carpets in Japan?,heated carpets,wisdom,en,,,未確認,,
54,What should I know about hot water bottles in Japan?,hot water bottles,wisdom,en,,,未確認,,
55,What should I know about layering clothes in Japan?,layering clothes,wisdom,en,,,未確認,,
56,What should I know about cooling towels in Japan?,cooling towels,wisdom,en,,,未確認,,
57,What should I know about summer heat habits in Japan?,summer heat habits,wisdom,en,,,未確認,,
58,What should I know about insect prevention in Japan?,insect prevention,wisdom,en,,制度・安全,未確認,,
59,What should I know about plants indoors in Japan?,plants indoors,wisdom,en,,,未確認,,
60,What should I know about balcony gardening in Japan?,balcony gardening,wisdom,en,,,未確認,,
61,What should I know about waste separation in Japan?,waste separation,wisdom,en,,制度・安全,未確認,,
62,What should I know about local rules in Japan?,local rules,wisdom,en,,,未確認,,
63,What should I know about community boards in Japan?,community boards,wisdom,en,,,未確認,,
64,What should I know about neighbourhood etiquette in Japan?,neighbourhood etiquette,wisdom,en,,,未確認,,
65,What should I know about noise consideration in Japan?,noise consideration,wisdom,en,,,未確認,,
66,What should I know about earthquake preparation in Japan?,earthquake preparation,wisdom,en,,制度・安全,未確認,,
67,What should I know about emergency bags in Japan?,emergency bags,wisdom,en,,制度・安全,未確認,,
68,What should I know about water storage in Japan?,water storage,wisdom,en,,,未確認,,
69,What should I know about torches and radios in Japan?,torches and radios,wisdom,en,,,未確認,,
70,What should I know about first aid at home in Japan?,first aid at home,wisdom,en,必須,,未確認,,
71,What should I know about stockpiling food in Japan?,stockpiling food,wisdom,en,,,未確認,,
72,What should I know about rotating supplies in Japan?,rotating supplies,wisdom,en,,,未確認,,
73,What should I know about reading a Japanese label in Japan?,reading a Japanese label,wisdom,en,,,未確認,,
74,What should I know about product lot numbers in Japan?,product lot numbers,wisdom,en,,,未確認,,
75,What should I know about warranty culture in Japan?,warranty culture,wisdom,en,,,未確認,,
76,What should I know about repair over replace in Japan?,repair over replace,wisdom,en,,,未確認,,
77,What do people get wrong about taking shoes off indoors in Japan?,taking shoes off indoors,wisdom,en,,,未確認,,
78,What do people get wrong about the genkan in Japan?,the genkan,wisdom,en,,,未確認,,
79,What do people get wrong about tatami in Japan?,tatami,wisdom,en,,,未確認,,
80,What do people get wrong about futon airing in Japan?,futon airing,wisdom,en,,,未確認,,
81,What do people get wrong about seasonal bedding in Japan?,seasonal bedding,wisdom,en,,,未確認,,
82,What do people get wrong about sliding doors in Japan?,sliding doors,wisdom,en,,,未確認,,
83,What do people get wrong about small apartments in Japan?,small apartments,wisdom,en,,,未確認,,
84,What do people get wrong about storage in narrow spaces in Japan?,storage in narrow spaces,wisdom,en,,,未確認,,
85,What do people get wrong about under-bed storage in Japan?,under-bed storage,wisdom,en,,,未確認,,
86,What do people get wrong about the gap beside the fridge in Japan?,the gap beside the fridge,wisdom,en,,,未確認,,
87,What do people get wrong about vertical storage in Japan?,vertical storage,wisdom,en,,,未確認,,
88,What do people get wrong about seasonal clothing rotation in Japan?,seasonal clothing rotation,wisdom,en,,,未確認,,
89,What do people get wrong about refill packs in Japan?,refill packs,wisdom,en,,,未確認,,
90,What do people get wrong about reusable cloth in Japan?,reusable cloth,wisdom,en,,,未確認,,
91,What do people get wrong about furoshiki in Japan?,furoshiki,wisdom,en,,,未確認,,
92,What do people get wrong about tenugui in Japan?,tenugui,wisdom,en,,,未確認,,
93,What do people get wrong about bento boxes in Japan?,bento boxes,wisdom,en,,,未確認,,
94,What do people get wrong about chopstick rests in Japan?,chopstick rests,wisdom,en,,,未確認,,
95,What do people get wrong about single-purpose kitchen tools in Japan?,single-purpose kitchen tools,wisdom,en,,,未確認,,
96,What do people get wrong about drying racks in Japan?,drying racks,wisdom,en,,,未確認,,
97,What do people get wrong about laundry poles in Japan?,laundry poles,wisdom,en,,,未確認,,
98,What do people get wrong about indoor drying in Japan?,indoor drying,wisdom,en,,,未確認,,
99,What do people get wrong about dehumidifiers in Japan?,dehumidifiers,wisdom,en,,,未確認,,
100,What do people get wrong about the rainy season in Japan?,the rainy season,wisdom,en,,,未確認,,
101,What do people get wrong about mould prevention in Japan?,mould prevention,wisdom,en,,制度・安全,未確認,,
102,What do people get wrong about ventilation habits in Japan?,ventilation habits,wisdom,en,,,未確認,,
103,What do people get wrong about cleaning order in Japan?,cleaning order,wisdom,en,,制度・安全,未確認,,
104,What do people get wrong about cleaning cloths in Japan?,cleaning cloths,wisdom,en,,制度・安全,未確認,,
105,What do people get wrong about newspaper for windows in Japan?,newspaper for windows,wisdom,en,,,未確認,,
106,What do people get wrong about baking soda in Japan?,baking soda,wisdom,en,,,未確認,,
107,What do people get wrong about citric acid in Japan?,citric acid,wisdom,en,,,未確認,,
108,What do people get wrong about the year-end clean in Japan?,the year-end clean,wisdom,en,,,未確認,,
109,What do people get wrong about daily tidying in Japan?,daily tidying,wisdom,en,,,未確認,,
110,What do people get wrong about the entrance mat in Japan?,the entrance mat,wisdom,en,,,未確認,,
111,What do people get wrong about shoe cabinets in Japan?,shoe cabinets,wisdom,en,,,未確認,,
112,What do people get wrong about umbrella care in Japan?,umbrella care,wisdom,en,,,未確認,,
113,What do people get wrong about seasonal food in Japan?,seasonal food,wisdom,en,,,未確認,,
