no,file,question,source,url,what_to_verify,status(未確認/一致/不一致),checked_by,checked_on
004,004_inbound_drugstores.md,Q. What do people get wrong about drugstores in Japan?,"Pharmaceuticals and Medical Devices Agency (PMDA), ""Regulation of OTC Drugs in Japan"" (T. Nakamura, Office Director)",https://www.pmda.go.jp/files/000152069.pdf,"From May 2026, certain cold, cough and sleep-aid medicines were reclassified with **age checks and limits on quantity per purchase**. Confirm the current scope with the Ministry of Health, Labour and Welfare before publication.",,,
004,004_inbound_drugstores.md,Q. What do people get wrong about drugstores in Japan?,"Ministry of Health, Labour and Welfare — pharmaceuticals and OTC classification",https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/iyakuhin/index.html,"From May 2026, certain cold, cough and sleep-aid medicines were reclassified with **age checks and limits on quantity per purchase**. Confirm the current scope with the Ministry of Health, Labour and Welfare before publication.",,,
004,004_inbound_drugstores.md,Q. What do people get wrong about drugstores in Japan?,National Tax Agency — consumption tax exemption for foreign visitors,https://www.nta.go.jp/taxes/shiraberu/taxanswer/shohi/6551.htm,"From May 2026, certain cold, cough and sleep-aid medicines were reclassified with **age checks and limits on quantity per purchase**. Confirm the current scope with the Ministry of Health, Labour and Welfare before publication.",,,
004,004_inbound_drugstores.md,Q. What do people get wrong about drugstores in Japan?,Japan Customs — passenger clearance,https://www.customs.go.jp/english/summary/passenger.htm,"From May 2026, certain cold, cough and sleep-aid medicines were reclassified with **age checks and limits on quantity per purchase**. Confirm the current scope with the Ministry of Health, Labour and Welfare before publication.",,,
009,009_inbound_convenience-stores.md,Q. What do people get wrong about convenience stores in Japan?,Japan Franchise Association — Convenience Store Statistics (monthly and annual),https://www.jfa-fc.or.jp/particle/320.html,Sales figures are from the Japan Franchise Association's 2025 annual tabulation. The nationwide store count is drawn from secondary reporting; confirm the current JFA figure before publication.,,,
009,009_inbound_convenience-stores.md,Q. What do people get wrong about convenience stores in Japan?,Consumer Affairs Agency — food allergen labelling,https://www.caa.go.jp/policies/policy/food_labeling/food_sanitation/allergy/,Sales figures are from the Japan Franchise Association's 2025 annual tabulation. The nationwide store count is drawn from secondary reporting; confirm the current JFA figure before publication.,,,
009,009_inbound_convenience-stores.md,Q. What do people get wrong about convenience stores in Japan?,Ministry of the Environment — waste and recycling,https://www.env.go.jp/recycle/,Sales figures are from the Japan Franchise Association's 2025 annual tabulation. The nationwide store count is drawn from secondary reporting; confirm the current JFA figure before publication.,,,
014,014_inbound_100-yen-shops.md,Q. What do people get wrong about 100-yen shops in Japan?,"Teikoku Databank, ""100-yen shop industry survey (fiscal 2025 outlook)"" (2 April 2026)",https://www.tdb.co.jp/report/industry/20260402-100yenshop25y/,Figures are from Teikoku Databank's fiscal-2025 outlook (published April 2026). Confirm before publication.,,,
014,014_inbound_100-yen-shops.md,Q. What do people get wrong about 100-yen shops in Japan?,National Tax Agency — consumption tax and price display,https://www.nta.go.jp/taxes/shiraberu/taxanswer/shohi/6902.htm,Figures are from Teikoku Databank's fiscal-2025 outlook (published April 2026). Confirm before publication.,,,
014,014_inbound_100-yen-shops.md,Q. What do people get wrong about 100-yen shops in Japan?,Japan Customs — passenger clearance,https://www.customs.go.jp/english/summary/passenger.htm,Figures are from Teikoku Databank's fiscal-2025 outlook (published April 2026). Confirm before publication.,,,
019,019_inbound_cash-and-cards.md,Q. What do people get wrong about cash and cards in Japan?,"Ministry of Economy, Trade and Industry, ""2025 cashless payment ratio calculated"" (31 March 2026)",https://www.meti.go.jp/press/2025/03/20260331006/20260331006.html,Confirm figures against the METI press release before publication. The 2025 figure uses a revised methodology.,,,
019,019_inbound_cash-and-cards.md,Q. What do people get wrong about cash and cards in Japan?,"METI Cashless Promotion Council, summary of discussions (December 2025)",https://www.meti.go.jp/shingikai/mono_info_service/cashless_promotion/pdf/003_03_00.pdf,Confirm figures against the METI press release before publication. The 2025 figure uses a revised methodology.,,,
019,019_inbound_cash-and-cards.md,Q. What do people get wrong about cash and cards in Japan?,National Tax Agency — consumption tax exemption for foreign visitors,https://www.nta.go.jp/taxes/shiraberu/taxanswer/shohi/6551.htm,Confirm figures against the METI press release before publication. The 2025 figure uses a revised methodology.,,,
024,024_inbound_bringing-food-home.md,Q. What do people get wrong about bringing food home from Japan?,"Animal Quarantine Service, MAFF — ""Souvenir meat products (taking out of Japan)""",https://www.maff.go.jp/aqs/tetuzuki/product/aq1.html,"At the time of writing, the service noted that **export quarantine certificates for pork and wild-boar products were suspended** following domestic cases of classical swine fever. Confirm the current status before publication — this changes.",,,
024,024_inbound_bringing-food-home.md,Q. What do people get wrong about bringing food home from Japan?,"Animal Quarantine Service, MAFF — ""Bringing livestock products into and out of Japan""",https://www.maff.go.jp/aqs/tetuzuki/qanda/souvenir.html,"At the time of writing, the service noted that **export quarantine certificates for pork and wild-boar products were suspended** following domestic cases of classical swine fever. Confirm the current status before publication — this changes.",,,
024,024_inbound_bringing-food-home.md,Q. What do people get wrong about bringing food home from Japan?,"Japan Customs — Customs Answer 9006, animal quarantine for travellers",https://www.customs.go.jp/tetsuzuki/c-answer/sonota/9006_jr.htm,"At the time of writing, the service noted that **export quarantine certificates for pork and wild-boar products were suspended** following domestic cases of classical swine fever. Confirm the current status before publication — this changes.",,,
029,029_inbound_packing-for-summer.md,Q. What do people get wrong about packing for summer in Japan?,Fire and Disaster Management Agency — heat illness information (ambulance transport statistics),https://www.fdma.go.jp/disaster/heatstroke/,Figures from FDMA's 2025 heat-illness statistics. Confirm before publication.,,,
029,029_inbound_packing-for-summer.md,Q. What do people get wrong about packing for summer in Japan?,Ministry of the Environment — heat illness prevention information site,https://www.wbgt.env.go.jp/,Figures from FDMA's 2025 heat-illness statistics. Confirm before publication.,,,
029,029_inbound_packing-for-summer.md,Q. What do people get wrong about packing for summer in Japan?,Japan Meteorological Agency — UV information,https://www.data.jma.go.jp/gmd/env/uvhp/,Figures from FDMA's 2025 heat-illness statistics. Confirm before publication.,,,
034,034_inbound_humidity.md,Q. What do people get wrong about humidity in Japan?,Fire and Disaster Management Agency — heat illness ambulance statistics,https://www.fdma.go.jp/disaster/heatstroke/,Confirm figures against the FDMA heat-illness page before publication.,,,
034,034_inbound_humidity.md,Q. What do people get wrong about humidity in Japan?,Ministry of the Environment — heat illness prevention information site,https://www.wbgt.env.go.jp/,Confirm figures against the FDMA heat-illness page before publication.,,,
034,034_inbound_humidity.md,Q. What do people get wrong about humidity in Japan?,Japan Meteorological Agency — climate statistics,https://www.data.jma.go.jp/stats/etrn/,Confirm figures against the FDMA heat-illness page before publication.,,,
039,039_inbound_onsen-etiquette.md,Q. What do people get wrong about onsen etiquette in Japan?,"Ministry of the Environment, notice on contraindications and bathing precautions under Hot Spring Act Art. 18 (1 July 2014)",https://www.env.go.jp/nature/onsen/pdf/2-5_p_11.pdf,Confirm wording against the Ministry of the Environment notice (環自総発第1407012号) before publication.,,,
