記事番号,棚,ファイル名,確認が必要な記述,検出バッチ,確認結果（OK／要修正）,確認者,確認日
001,beauty,001_beauty_cleansing.md,「W洗顔」が日本独自の習慣であること、および「生え際・あご・小鼻のまわりは残りやすい場所として知られている」という記述の出典。,jr_000,,,
001,beauty,001_beauty_cleansing.md,出典の日本皮膚科学会「皮膚科Q&A」URL https://www.dermatol.or.jp/qa/ の現存。検索では一般市民向けページとして https://www.dermatol.or.jp/public/ は確認できたが /qa/ は確認できなかった。公開前に要確認（006も同じURLを使用）。,jr_000,,,
002,health,002_health_napping.md,『健康づくりのための睡眠指針2014』の原文表現「午後の早い時刻に30分以内の短い昼寝」の逐語一致（一次資料PDFに到達できず、検索回数上限に到達）。,jr_000,,,
002,health,002_health_napping.md,『睡眠ガイド2023』本文における昼寝の記述の逐語表現（高齢者「30分以上の長い昼寝は避ける」は二次情報2件で一致。成人向けの昼寝記述の有無は未確認）。出典1つ目は最終版PDFではなくMHLWの睡眠対策インデックスページ、2つ目は「（案）」資料である点も要確認。,jr_000,,,
003,trend,003_trend_batch-cooking.md,厚労省パンフレット pamph01_05.pdf の本文（10℃以下／−15℃以下／中心部75℃1分以上／温め直し75℃以上／「時間が経ちすぎたら捨てる」）の逐語一致。URLの現存と自治体サイト経由の温度目安は確認済みだが、PDF本体は未閲覧。,jr_000,,,
005,wisdom,005_wisdom_taking-shoes-off-indoors.md,「Picture scrolls from the Heian period (794–1185) already show footwear being removed before entering residences」。nippon.com等の二次情報では同趣旨の記述があるが、一次史料・学術出典は未確認。,jr_000,,,
005,wisdom,005_wisdom_taking-shoes-off-indoors.md,出典3の Web Japan（外務省）URL https://web-japan.org/kidsweb/explore/housing/q1.html の現存とページ内容。,jr_000,,,
006,beauty,006_beauty_skincare-order.md,朝夜の基本手順（洗顔→化粧水→乳液→日焼け止め等）が日本皮膚科学会の情報に由来するか。検索では化粧品会社・医療機関サイトでの紹介のみ確認でき、学会の一次資料は確認できなかった（記事内の【要検証】と同じ論点）。,jr_000,,,
007,health,007_health_pillow-height.md,出典に挙げた e-ヘルスネット「快眠と生活習慣」および『睡眠ガイド2023』に、枕の高さに関する記述があるかどうか（本文の数値を支える出典として妥当か）。,jr_001,,,
007,health,007_health_pillow-height.md,枕の高さの目安（仰向け約1〜6cm／横向き約4〜10cm／うつ伏せ約0.5〜3cm）。寝具メーカー系の解説記事では仰向け約1〜6cm・横向き約4〜10cmが確認できたが、各社公式資料そのものは特定できていない。うつ伏せの0.5〜3cmは裏取りできなかった。,jr_001,,,
008,trend,008_trend_using-the-fridge.md,「庫内には最大で20℃以上の温度差」。表の数値（野菜室8℃〜冷凍室−20℃）からは約28℃差となり、記述と表の対応が緩い。一次出典なし。,jr_001,,,
008,trend,008_trend_using-the-fridge.md,出典URL https://www.mhlw.go.jp/topics/bukyoku/iyaku/syoku-anzen/dl/pamph01_05.pdf の生存・内容。厚労省の該当解説ページは https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/shokuhin/syokuchu/01_00006.html で確認でき、「冷蔵庫は10℃以下、冷凍庫は−15℃以下」「詰めすぎない（目安は7割）」も確認できた。,jr_001,,,
008,trend,008_trend_using-the-fridge.md,出典に挙げたJEMA「電気冷蔵庫」ページ（https://www.jema-net.or.jp/living/reizouko/index.html）が、記事の温度帯を裏づける記載を含むか。,jr_001,,,
008,trend,008_trend_using-the-fridge.md,誤解6「停電しても数時間なら平気」に対する具体的な温度上昇の速さ（何時間でどの程度上がるか）の根拠。,jr_001,,,
010,wisdom,010_wisdom_storage-in-narrow-spaces.md,"""Urban figures are lower."" 都市部の具体的な数値（東京都等）は確認していない。",jr_001,,,
011,beauty,011_beauty_storing-cosmetics.md,「開封後は数か月から1年以内に使い切る」。日本化粧品工業会Q&Aは「開封後は早めに使いきる」と案内しているが、具体的な月数は二次情報（化粧水・乳液で6か月〜1年等）にとどまる。,jr_001,,,
011,beauty,011_beauty_storing-cosmetics.md,出典の国民生活センターはトップページURLのみで、化粧品に関する具体的な注意喚起ページが特定されていない。,jr_001,,,
012,health,012_health_bedroom-temperature.md,「湿度60%程度を目安に」の根拠。睡眠関連の二次資料では40〜60%、事務所衛生基準規則では40〜70%とされており、出典と基準値の対応が未確認。,jr_001,,,
012,health,012_health_bedroom-temperature.md,『睡眠ガイド2023』の「睡眠時の室温13〜29℃」「夏場26〜28℃」。二次資料では13〜29℃という記述が見られる一方、13〜28℃とする二次資料もあり、一次資料での確認ができていない。,jr_001,,,
013,trend,013_trend_making-dashi.md,昆布は高温で煮立て続けるとぬめりや雑味が出やすく、かつお節は長く煮ると香りが飛びやすい（定説だが、公的・学術的な一次資料での裏づけは取れなかった）,jr_002,,,
013,trend,013_trend_making-dashi.md,水出し（昆布を水に浸けるだけ）の手軽さ、および「だしがらを使う調理法が各地の家庭で受け継がれてきた」という記述（農水省「うちの郷土料理」の該当ページを特定できていない）,jr_002,,,
015,wisdom,015_wisdom_refill-packs.md,2023年・2024年の容器包装プラスチック使用量の最新値（環境年報Vol.49の本文にアクセスできず、数値を取得できなかった）,jr_002,,,
015,wisdom,015_wisdom_refill-packs.md,"Manufacturers generally advise emptying, washing and drying the container before refilling（メーカー各社の表示に基づく一般化。JSDAの公的な一般案内は確認できなかった）",jr_002,,,
016,beauty,016_beauty_cosmetics-expiry.md,「冷蔵すれば開封後の期間を延ばせるわけではない」（合理的だが、公的資料での明示的な記述を確認できなかった）,jr_002,,,
017,health,017_health_phone-before-bed.md,屋外の光が数万ルクス、室内照明は数百ルクス、画面はさらに弱い、という桁の比較（一般論としては妥当だが、記事が挙げる出典で確認できていない）,jr_002,,,
017,health,017_health_phone-before-bed.md,睡眠ガイド2023の該当箇所の逐語表現（原文PDFに到達できず、二次資料の要約でのみ確認）,jr_002,,,
018,trend,018_trend_pan-care.md,「急な温度変化が変形・加工のはがれの原因になる」「加工がはがれたら買い替え」の公的な裏づけ（メーカー案内としては一般的）,jr_002,,,
018,trend,018_trend_pan-care.md,国民生活センターおよびNITEが調理器具（ふっ素樹脂加工フライパン）に関する注意喚起を出しているか、具体的なページの特定,jr_002,,,
020,wisdom,020_wisdom_furoshiki.md,「風呂敷」の語源＝足利義満の大湯殿説。製造元・辞典類では広く一致するが一次史料は確認できず、風炉（茶の湯）由来説など諸説がある旨は本文に反映されていない。,jr_003,,,
020,wisdom,020_wisdom_furoshiki.md,出典3点（METI・環境省・宮井株式会社）の本文内容そのものは未読（go.jp到達不可）。METIのレジ袋有料化ページのタイトル・URLと2020年7月1日開始は検索で一致を確認済み。,jr_003,,,
020,wisdom,020_wisdom_furoshiki.md,室町時代の年代表記（1336–1573）。一般的な区分と一致するが公的資料での確認は未了。,jr_003,,,
021,fashion,021_fashion_pilling.md,「柔軟剤で摩擦をやわらげる働きは期待される」——柔軟剤とピリング発生率の関係を示す公的・試験機関資料は確認できなかった。,jr_003,,,
021,fashion,021_fashion_pilling.md,「短い繊維を使ったものほど毛玉ができやすい」——業界解説では一般的だが、試験機関の一次資料での裏取りは未了。,jr_003,,,
021,fashion,021_fashion_pilling.md,出典3点目の消費者庁「家庭用品品質表示法（繊維製品）」が本文のどの記述を支えているのか不明。本文に混用率表示への言及がない。,jr_003,,,
022,health,022_health_morning-light.md,"体内時計リセットの目安「2,500ルクス以上」——睡眠クリニック・高照度光療法の解説で広く使われる値だが、厚労省『健康づくりのための睡眠ガイド2023』や学会資料に同じ数値があるかは未確認。",jr_003,,,
022,health,022_health_morning-light.md,出典に挙げた『健康づくりのための睡眠ガイド2023』（2024年2月公表、現行最新版であることは確認済み）が、本文のどの記述を支えるかは未確認。,jr_003,,,
022,health,022_health_morning-light.md,照度表（晴天5万〜10万／曇天約1万／室内数百ルクス）——二次情報では一致するが、公的機関の一次資料での確認は未了。,jr_003,,,
023,trend,023_trend_microwave-tips.md,「電子レンジは食品中の水分を動かして温めるため、水分の多い部分ほど早く温まる」——原理としては妥当だが公的資料での裏取りは未了。,jr_003,,,
023,trend,023_trend_microwave-tips.md,国民生活センターの「2020年4月〜2025年12月・5年9か月・521件」および2026年3月25日公表——検索スニペットでは数値・期間・日付とも一致。発表資料PDF本体は未読。,jr_003,,,
025,wisdom,025_wisdom_tenugui.md,「legal in any hand luggage」——手荷物規則は航空会社・国により異なり、断定の根拠が不明。,jr_003,,,
025,wisdom,025_wisdom_tenugui.md,「夏の相対湿度が恒常的に70%超」——東京の8月平均相対湿度は約75%との二次情報があるが、気象庁統計での直接確認は未了（出典URL data.jma.go.jp/stats/etrn/ 自体は存在する）。,jr_003,,,
025,wisdom,025_wisdom_tenugui.md,出典のMETI「伝統的工芸品」ページ（URLは実在を確認）が手ぬぐい／注染を含むかは未確認。手ぬぐい自体は経産大臣指定伝統的工芸品の一覧に見当たらない可能性があり、出典と本文の対応関係の再確認が必要。,jr_003,,,
025,wisdom,025_wisdom_tenugui.md,寸法「約90×35cm」——製造元の一般的な記載は約90×約36cm。35cmも実売品の範囲内だが幅は33〜38cmと幅がある。,jr_003,,,
026,fashion,026_fashion_knitwear-washing.md,「平干し」＝四角の中に横線という記号の形状。消費者庁の記号一覧原文で未確認（吊り干しが縦線・平干しが横線という一般解説とは一致）。,jr_004,,,
026,fashion,026_fashion_knitwear-washing.md,基本記号は5つ（洗濯・漂白・乾燥・アイロン・クリーニング）という整理。消費者庁は改正後を「7分類43種類」と説明しており、原文での基本記号の数え方を要確認。,jr_004,,,
027,health,027_health_body-clock.md,「約24.2時間」が日本薬学会「概日リズム」（word00678）に記載されているか。同ページの説明は「約24時間」で、24.2という具体値は確認できず。24.2時間（24.18時間）は別の研究報告に基づく値。,jr_004,,,
027,health,027_health_body-clock.md,『健康づくりのための睡眠ガイド2023』が「規則的な生活リズム」を重視しているという要約の原文対応（同ガイドが2024年2月公表であることは確認済み）。,jr_004,,,
028,trend,028_trend_seasonal-food.md,「文部科学省の食品成分表に季節別の値が載っている食材は一部」という記述。成分表は2020年版（八訂）＋2023年増補が最新で、九訂は検討段階。季節別収載の範囲は原文未確認。,jr_004,,,
028,trend,028_trend_seasonal-food.md,東京都中央卸売市場が「野菜・果物の月別の入荷数量と価格」を公表している点の原文確認（市場統計情報の月報・年報の存在とURLは確認済み）。,jr_004,,,
030,wisdom,030_wisdom_single-purpose-kitchen-tools.md,90.86 m² の定義（居住世帯のある住宅全体の1住宅当たり延べ面積か、持ち家・借家別か）。令和5年住宅・土地統計調査の値であることは確認済み。,jr_004,,,
031,fashion,031_fashion_leather-shoe-care.md,「業界の目安は10回履いたら1回」のクリーム塗布頻度は複数の靴専門メディアで一致（月1回または10回履いたら1回）だが、メーカー公式資料での裏取りは未実施。,jr_004,,,
031,fashion,031_fashion_leather-shoe-care.md,「足の汗は1日にコップ1杯（約200mL）」の一次資料。確認できたのは商業メディア・靴店の解説のみで、公的機関・学会の資料は未確認。,jr_004,,,
031,fashion,031_fashion_leather-shoe-care.md,エステー「革靴を長持ちさせるためのお手入れ方法を教えてください」（products.st-c.co.jp/plus/question/answer/42.html）の内容と本文の対応。未検証。,jr_004,,,
031,fashion,031_fashion_leather-shoe-care.md,出典に挙げた消費者庁「家庭用品品質表示法（雑貨工業品）」が靴クリーム・靴墨等を対象としているか。検索上限に達し未検証。対象品目でなければ出典と本文が対応しない可能性がある。,jr_004,,,
032,health,032_health_hydration.md,「推進運動の目的は、熱中症や脳梗塞などの予防です」——運動の趣旨として二次情報で整合するが、原文の文言は未確認。,jr_005,,,
032,health,032_health_hydration.md,「日本の食事摂取基準には、水分の摂取量に関する指標は設けられていません。」——参照した版（2020年版か2025年版か）が本文・出典とも不明。検索枠を使い切ったため未確認。現行版（令和7年度から適用される版）の記載を原文で要確認。,jr_005,,,
032,health,032_health_hydration.md,出典PDF https://www.mhlw.go.jp/file/06-Seisakujouhou-10900000-Kenkoukyoku/0000087038.pdf の生存とその中身（2.5L／1.0L／1.2L／0.3Lの内訳表）。内訳の数値そのものは複数の二次情報で一致を確認済み。,jr_005,,,
033,trend,033_trend_regional-cuisine.md,"2022年3月以降にデータベースの品目数が1,365から増えていないか。2025〜2026年の更新情報は検索で確認できなかった。",jr_005,,,
033,trend,033_trend_regional-cuisine.md,「家庭での調理、飲食店のメニュー、食品メーカーの商品開発、研究に使えるよう公開」——農水省の利用想定の文言は原文未確認。,jr_005,,,
035,wisdom,035_wisdom_indoor-drying.md,「Air conditioning in dry mode plus a circulating fan is the common combination」「気流のほうが温度より効く」——公的・企業研究の裏付け未確認。,jr_005,,,
