file,claim_to_verify,status,checked_by,checked_on
019_inbound_cash-and-cards.md,"2025 cashless ratio of 46.3% on the older international-comparison basis (58.0% domestic indicator, 2030 65% interim and 80% long-term targets are confirmed; 46.3% appears only in a chart in a secondary report and was not confirmed against the METI release).",,,
019_inbound_cash-and-cards.md,"'Government's 40% target hit a year early' - the target was 'about 40% by 2025'; 2024 = 42.8% is confirmed, but 2023 was already ~39%, so 'a year early' is a framing humans should confirm.",,,
004_inbound_drugstores.md,"PMDA PDF URL https://www.pmda.go.jp/files/000152069.pdf ('Regulation of OTC Drugs in Japan', T. Nakamura) - not surfaced in searches.",,,
004_inbound_drugstores.md,Whether 'sleep-aid medicines' are within the May 2026 designated-abuse-prevention scope: bromovalerylurea and allylisopropylacetylurea (sedative/hypnotic ingredients) are among the 8 ingredients; diphenhydramine sleep aids are not. Wording of [Verify] block should be checked.,,,
024_inbound_bringing-food-home.md,Current status (Sept 2026) of the suspension of export quarantine certificates for pork/wild-boar products after classical swine fever; search snippet confirms suspension exists on the AQS page but not its date.,,,
064_inbound_customs-on-the-way-home.md,Same as above - suspension status of pork/wild-boar export certificates as of publication date.,,,
029_inbound_packing-for-summer.md,PA rating range 'PA+ to PA++++' (Japan Cosmetic Industry Association standard since 2013) - not searched due to search budget; widely documented.,,,
009_inbound_convenience-stores.md,Number of 'recommended' allergen ingredients (article does not give a number; currently 20 per CAA) - only if editors add the figure.,,,
039_inbound_onsen-etiquette.md,"Exact English rendering of notice 環自総発第1407012号 - Japanese content (3-10 min initially, 15-20 min when accustomed, 30 min rest after exercise, avoid bathing right before/after meals or after alcohol, elderly/children/disabled not alone) is confirmed via secondary reproductions; PDF text not read directly.",,,
069_inbound_rubbish-bins.md,"JTA FY2025 visitor survey (fieldwork Nov 2025–Jan 2026, released April 2026): 'too few rubbish bins' 17.2% (down from 21.9%), communication with staff 15.4%, crowding 12.9%; PDF content/001998584.pdf and press release news08_00039.html exist.",,,
069_inbound_rubbish-bins.md,Public bins were removed from Tokyo-area stations and streets after the 1995 sarin attack (widely reported; some operators also removed bins after the 2004 Madrid bombings and again later — the article's single-cause framing is hedged but not checked).,,,
069_inbound_rubbish-bins.md,"1,741 municipalities (consistent with 1,718 municipalities + 23 Tokyo wards; MoE URL not checked).",,,
074_inbound_sorting-rubbish.md,"MoE FY2023 general waste survey covers 1,741 municipalities and 545 partial-affairs associations; released 27 March 2025; URL r5/data/env_press.pdf.",,,
074_inbound_sorting-rubbish.md,"Category counts 'from a handful to more than a dozen' (true but understated: Kamikatsu, Tokushima, sorts into 45 categories).",,,
